Daily Time,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
44.33,39,48335.2,258.62,Cloned object-oriented benchmark,Westshire,0,Micronesia,15-03-2016 06:54,1
41.73,31,59886.58,207.17,Optional full-range projection,North Regina,1,French Polynesia,30-03-2016 14:36,0
71.03,31,40182.84,207.17,Decentralized client-driven data-warehouse,New Marcusbury,0,Gabon,31-01-2016 06:14,1
89.05,55,38260.89,187.76,Polarized tangible collaboration,Combsstad,0,Tonga,21-04-2016 09:30,1
55.6,35,73889.99,236.87,Robust uniform framework,Wrightburgh,0,Myanmar,11-06-2016 06:47,0
42.04,37,67132.46,139.32,Vision-oriented attitude-oriented Internet solution,Lake Danielle,0,Croatia,21-05-2016 01:36,0
43.49,37,51691.55,217.37,Streamlined homogeneous analyzer,Petersonfurt,0,Australia,17-06-2016 17:11,1
51.24,36,32549.95,109.07,Operative stable moderator,Youngfort,1,Algeria,27-04-2016 04:28,0
68.01,33,41547.62,204.02,Customizable tangible hierarchy,New Thomas,1,Vanuatu,09-07-2016 11:04,0
46.61,29,53431.35,227.37,Synchronized multi-tasking ability,Silvaton,0,Greece,12-05-2016 21:32,1
82.07,43,52563.22,121.28,Reverse-engineered maximized focus group,North Kimberly,0,Bangladesh,17-04-2016 21:39,1
63.45,32,57691.95,178.92,Business-focused transitional solution,Lisafort,1,Latvia,31-03-2016 20:55,0
36.56,46,40468.53,229.12,Front-line system-worthy flexibility,Youngfort,0,Belgium,04-04-2016 08:19,1
51.56,29,56113.37,208.05,Advanced modular Local Area Network,Wilsonburgh,0,Burundi,19-06-2016 22:08,0
52.84,42,60514.05,199.43,Virtual 5thgeneration neural-net,Hubbardmouth,1,Czech Republic,15-02-2016 16:52,1
47.74,52,32635.7,186.37,Business-focused transitional solution,Penatown,1,Cuba,19-07-2016 08:32,1
65.77,34,59785.94,168.34,Cloned explicit middleware,Kingshire,1,Namibia,27-02-2016 08:52,0
56.39,46,40468.53,253.48,Automated multi-state toolset,North Jenniferburgh,0,Belgium,06-04-2016 14:16,0
76.64,31,56180.93,207.17,Focused 3rdgeneration pricing structure,Port Calvintown,0,Croatia,21-06-2016 14:32,0
57.99,34,40763.13,168.34,Cloned explicit middleware,Lake Amy,1,Namibia,08-02-2016 14:02,0
55.92,42,60514.05,236.87,Multi-layered tangible portal,Robertbury,0,Madagascar,06-04-2016 11:24,0
70.09,45,59610.81,227.73,Secured 24hour policy,Burgessside,0,Brazil,08-04-2016 14:35,1
72.23,30,57877.15,244.91,Cross-platform logistical pricing structure,Patriciahaven,1,Bolivia,08-05-2016 10:25,0
61.22,28,39799.73,212.87,Sharable reciprocal project,New Michael,1,Barbados,08-07-2016 03:47,0
55.6,35,42993.48,221.18,Optional multi-state hardware,Jacquelineshire,1,Hong Kong,18-03-2016 13:22,0
59.05,33,43974.49,135.67,Customer-focused fault-tolerant implementation,Chaseshire,1,Vanuatu,24-03-2016 06:36,1
55.79,22,21644.91,136.21,Function-based context-sensitive secured line,Combsstad,0,Brazil,03-07-2016 04:11,0
68.01,33,49101.67,204.27,Focused coherent success,South George,1,Vanuatu,06-02-2016 17:48,1
59.51,40,66574,232.78,Sharable reciprocal project,New Tinamouth,1,Ghana,18-03-2016 13:00,0
81.32,49,39031.89,195.69,Streamlined homogeneous analyzer,West Brandonton,1,Netherlands,04-04-2016 20:01,1
63.45,45,59886.58,187.76,Enhanced homogeneous moderator,Michaelmouth,1,Turkey,05-02-2016 16:50,1
72.19,39,58287.86,225.99,Business-focused real-time toolset,North Regina,1,Hong Kong,07-04-2016 15:18,0
53.68,37,23936.86,109.29,Phased content-based middleware,Gravesport,1,Belize,08-07-2016 03:47,0
41.73,28,67301.39,120.49,Down-sized bandwidth-monitored core,Hernandezfort,0,American Samoa,21-06-2016 14:32,0
82.07,43,32635.7,198.45,Optimized upward-trending productivity,Wilcoxport,1,Turkey,03-04-2016 21:13,1
43.49,37,23936.86,195.69,Cross-group non-volatile secured line,Browntown,0,Australia,05-01-2016 16:26,0
48.03,40,63394.41,221.98,Configurable tertiary capability,Youngfort,0,Albania,13-07-2016 16:12,1
49.42,45,69428.73,252.36,Synchronized systemic hierarchy,Kristinfurt,0,Qatar,06-04-2016 11:24,0
53.92,28,70492.6,221.79,Managed zero tolerance concept,Lake Michelle,1,Luxembourg,17-03-2016 05:00,0
73.1,26,56694.12,131.68,Configurable dynamic secured line,Shelbyport,0,Austria,15-05-2016 13:18,0
54.08,31,56180.93,240.64,Balanced empowering success,Lake David,1,Croatia,02-06-2016 21:02,0
46.61,50,49957,122.31,Reverse-engineered maximized focus group,Port Katelynview,0,Bangladesh,04-04-2016 18:36,1
34.3,34,34191.23,187.09,Cloned explicit middleware,Port Robin,1,Equatorial Guinea,05-04-2016 18:02,1
55.6,39,37334.78,209.91,Networked asymmetric infrastructure,Andrewborough,1,Mongolia,08-01-2016 09:32,1
82.07,55,57868.44,187.76,Inverse high-level capability,Hubbardmouth,1,Northern Mariana Islands,21-04-2016 09:30,1
56.39,46,69646.35,198.5,Proactive actuating Graphical User Interface,South Cynthiashire,1,Ireland,12-06-2016 21:21,0
54.97,29,53431.35,217.1,Centralized 24hour synergy,East Anthony,1,Uganda,14-01-2016 00:23,0
75.55,39,48335.2,258.62,Cloned object-oriented benchmark,Westshire,0,Micronesia,08-05-2016 22:24,1
44.78,25,50506.44,241.03,Pre-emptive next generation Internet solution,Hansenmouth,1,United States Minor Outlying Islands,28-04-2016 02:55,0
73.19,33,74535.94,120.75,Function-based incremental standardization,West Connor,0,Cameroon,14-01-2016 09:27,0
54.88,50,39616,226.79,Focused coherent success,Wilcoxport,1,Iran,03-04-2016 21:13,1
55.6,36,18368.57,115.26,Total cohesive moratorium,Williammouth,1,Myanmar,03-01-2016 16:01,1
43.49,37,66187.58,190.17,Polarized analyzing concept,North Randy,0,Saint Vincent and the Grenadines,10-02-2016 19:20,1
74.59,42,60514.05,238.58,Innovative interactive portal,Lake Jennifer,0,Czech Republic,06-04-2016 11:24,1
43.49,37,53058.91,230.52,Centralized logistical secured line,Garciamouth,0,Croatia,12-02-2016 08:46,0
50.08,29,69718.19,120.06,Programmable uniform website,West Shannon,0,United Arab Emirates,05-01-2016 16:26,0
50.08,40,57330.43,140.46,User-centric attitude-oriented adapter,West Gregburgh,0,Cambodia,11-06-2016 09:37,1
50.19,36,32549.95,141.52,Ameliorated actuating workforce,Youngfort,1,Indonesia,03-01-2016 16:01,1
73.93,33,43974.49,196.77,Multi-tiered foreground Graphic Interface,Silvaton,0,Brazil,12-05-2016 21:32,1
39.3,29,53431.35,158.56,Mandatory coherent groupware,Christinetown,0,Chile,14-01-2016 00:23,0
55.6,54,53188.69,182.2,Virtual scalable secured line,West James,0,South Africa,16-01-2016 23:37,1
74.63,27,66815.54,214.42,Monitored dynamic instruction set,Johnstad,0,Estonia,18-07-2016 01:36,0
83.97,41,57846.68,227.63,Fully-configurable foreground solution,West Leahton,1,Turkey,08-01-2016 09:32,0
68.01,33,56782.18,227.37,Synchronized multi-tasking ability,Novaktown,1,Australia,14-07-2016 22:43,1
56.39,46,58966.22,253.48,Programmable uniform website,Shelbyport,1,Australia,18-01-2016 02:51,0
80.3,37,23936.86,181.02,Cloned object-oriented benchmark,Westshire,0,Moldova,08-05-2016 22:24,1
61.22,36,50628.31,115.26,Robust web-enabled attitude,Lake Patrick,1,Netherlands Antilles,20-06-2016 08:22,0
47.74,32,69481.85,178.92,Business-focused transitional solution,Lisafort,1,Svalbard & Jan Mayen Islands,09-01-2016 03:45,0
88.04,38,64564.07,206.98,Customizable homogeneous contingency,Stewartbury,1,Western Sahara,15-01-2016 19:40,1
59.59,34,59785.94,203.44,Function-based incremental standardization,New Tinamouth,0,Turkmenistan,11-02-2016 20:45,1
40.04,34,59785.94,160.03,Cloned explicit middleware,New Tinamouth,0,Brunei Darussalam,27-04-2016 04:28,1
33.33,25,50671.6,105.86,Up-sized maximized model,Lake Rhondaburgh,1,Hong Kong,08-07-2016 17:14,0
89.05,49,64564.07,187.76,Reactive composite project,Michaelmouth,1,Tanzania,24-06-2016 08:42,1
84,36,70592.81,141.52,Proactive bandwidth-monitored policy,Hatfieldshire,1,Kazakhstan,20-06-2016 08:22,0
52.68,32,69481.85,118.27,Stand-alone radical throughput,North Daniel,1,Saudi Arabia,06-04-2016 21:20,1
75.84,45,70053.27,157.04,Function-based context-sensitive secured line,Burgessside,1,Turkey,17-07-2016 01:13,1
81.59,45,45716.48,174.88,Secured 24hour policy,Wintersfort,0,Brazil,30-06-2016 00:19,1
59.05,50,43974.49,123.13,Function-based context-sensitive secured line,Burgessside,0,Palau,03-06-2016 03:36,1
86.06,35,51119.93,143.79,Total cohesive moratorium,Kyleborough,1,Moldova,04-03-2016 10:13,1
41.73,28,71222.4,204.79,Polarized bifurcated array,Rickymouth,0,Albania,20-03-2016 02:44,0
40.47,35,25603.93,236.87,Optional multi-state hardware,Wrightburgh,0,Ukraine,18-07-2016 01:36,0
61.84,38,57868.44,170.13,Profit-focused dedicated utilization,Stewartbury,0,Lao People's Democratic Republic,15-01-2016 19:40,1
59.51,30,57877.15,219.94,Synchronized systemic hierarchy,Kristinfurt,0,Qatar,29-06-2016 10:50,0
79.91,30,57877.15,111.94,De-engineered attitude-oriented projection,Michaelland,1,Bolivia,18-03-2016 13:00,0
39.3,29,53431.35,158.56,Vision-oriented attitude-oriented Internet solution,West Ricardo,0,Uganda,03-02-2016 19:12,1
44.4,32,55424.24,172.83,Assimilated fault-tolerant hub,Kristinfurt,0,Kuwait,28-04-2016 22:54,0
54.43,37,53058.91,258.62,Vision-oriented attitude-oriented Internet solution,Westshire,0,Uganda,20-06-2016 14:20,1
61.22,45,60315.19,137.24,Enhanced homogeneous moderator,Wintersfort,1,Switzerland,10-07-2016 17:24,1
59.59,33,36752.24,115.35,Synergistic stable infrastructure,Youngfort,0,Greece,12-05-2016 21:32,1
79.6,23,62784.85,146.8,Team-oriented executive core,Patriciahaven,0,Czech Republic,14-01-2016 14:00,1
37,32,55424.24,219.94,Focused upward-trending core,Hernandezside,0,Bahamas,28-04-2016 22:54,0
55.6,35,54286.1,236.87,Multi-channeled attitude-oriented toolset,Hannaport,0,Mayotte,20-06-2016 14:20,1
40.04,23,25739.09,172.81,Centralized logistical secured line,Patriciahaven,0,Gabon,20-03-2016 07:12,0
64.75,25,50506.44,176.28,Customizable multi-tasking website,West Aprilport,0,Lao People's Democratic Republic,28-04-2016 02:55,0
51.56,45,74903.41,124.67,Assimilated multi-state paradigm,Wintersfort,0,Switzerland,05-03-2016 12:03,1
88.04,44,50723.67,120.63,Future-proofed fresh-thinking conglomeration,Port Jodi,0,Congo,01-03-2016 22:06,0
70.58,28,72948.76,230.52,Intuitive exuding service-desk,Westshire,0,Chile,13-01-2016 20:38,1
81.22,29,56113.37,216.49,Front-line heuristic data-warehouse,Johnstad,0,Montenegro,12-01-2016 03:28,0
79.54,25,50671.6,241.03,Integrated interactive support,Joshuaburgh,1,Korea,11-03-2016 06:49,0
42.04,37,67132.46,201.58,Realigned global initiative,Lake James,0,Burundi,08-01-2016 22:47,0
82.07,41,57846.68,126.39,Robust uniform framework,West Lisa,0,Bulgaria,27-02-2016 15:04,1
44.33,39,38067.08,124.44,Configurable logistical Graphical User Interface,North Randy,0,Serbia,07-03-2016 20:02,0
55.6,24,57691.95,182.2,Triple-buffered regional toolset,Whiteport,1,Somalia,12-07-2016 10:56,0
65.59,39,59457.52,222.25,Multi-channeled scalable moratorium,Port Melissaberg,1,Sri Lanka,03-01-2016 16:01,0
57.99,49,45632.51,168.34,Up-sized bi-directional infrastructure,Patriciahaven,1,Bahamas,11-03-2016 00:05,0
52.68,35,25603.93,236.87,Programmable asymmetric data-warehouse,North Johnside,0,Hong Kong,18-07-2016 01:36,0
50.08,40,73882.91,132.63,Synergized coherent interface,Port Christopherborough,1,Honduras,20-06-2016 08:22,0
65.07,34,59785.94,160.03,Cloned explicit middleware,Kingshire,0,Turkmenistan,05-04-2016 18:02,1
80.3,52,33951.63,130.86,Devolved regional moderator,South Jaimeview,1,Cuba,16-06-2016 02:01,1
70.44,34,59785.94,160.03,Cloned explicit middleware,New Tinamouth,0,Brunei Darussalam,20-02-2016 09:54,1
70.39,27,39193.45,203.9,Virtual impactful algorithm,Jordantown,1,Estonia,23-03-2016 21:06,0
72.23,40,41232.89,120.37,Vision-oriented real-time framework,Sandraville,0,Cameroon,02-05-2016 07:00,0
50.08,36,29398.61,140.46,Multi-layered fresh-thinking neural-net,West Gregburgh,0,Montenegro,06-07-2016 05:34,0
42.04,37,53058.91,181.02,Profound dynamic attitude,East Tammie,0,Belgium,10-02-2016 19:20,0
79.52,38,64564.07,122.04,Synergized clear-thinking protocol,Stewartbury,1,Western Sahara,13-02-2016 07:53,1
78.7,32,55424.24,172.83,Focused upward-trending core,Hernandezside,0,Hungary,09-06-2016 21:43,1
51.24,36,29398.61,141.52,Up-sized incremental encryption,Kimberlymouth,0,Uganda,12-03-2016 07:18,1
79.52,41,57846.68,259.76,Face-to-face even-keeled website,North Johnside,0,Hong Kong,05-07-2016 20:16,0
70.39,54,73049.3,117.33,Front-line bandwidth-monitored capacity,West Melaniefurt,1,Libyan Arab Jamahiriya,01-01-2016 05:31,1
66.08,33,77988.71,215.18,Stand-alone well-modulated product,West Connor,0,Indonesia,17-06-2016 20:18,0
61.22,31,56180.93,207.17,Focused 3rdgeneration pricing structure,Port Calvintown,0,Singapore,11-07-2016 09:32,0
67.56,28,71222.4,204.79,Intuitive exuding service-desk,Jamiefort,0,Croatia,06-05-2016 21:07,0
83.71,38,57868.44,130.83,Customizable homogeneous contingency,Stewartbury,1,Western Sahara,13-02-2016 07:53,1
72.23,33,57868.44,191.82,Integrated leadingedge frame,Taylorhaven,1,Sri Lanka,06-02-2016 17:48,1
80.3,49,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,0,Eritrea,27-04-2016 04:28,1
86.06,35,25603.93,109.07,Optional multi-state hardware,Hansenmouth,0,Albania,29-06-2016 02:48,1
70.58,31,58235.21,207.17,Programmable uniform website,New Michael,0,Turks and Caicos Islands,26-02-2016 22:46,0
54.97,33,55984.89,204.27,Compatible composite project,Novaktown,1,Afghanistan,14-07-2016 22:43,1
55.6,39,38067.08,258.62,Vision-oriented attitude-oriented Internet solution,Elizabethport,0,Mayotte,12-02-2016 08:46,1
79.54,25,50506.44,241.03,Focused 24hour implementation,South Corey,1,Georgia,18-03-2016 13:00,0
43.49,37,23936.86,181.02,Profound dynamic attitude,Lake James,0,Burundi,08-01-2016 22:47,0
56.39,40,62669.59,117.3,Pre-emptive content-based frame,Lake Jessicaville,1,Ethiopia,23-03-2016 06:00,1
76.77,36,29398.61,222.25,Intuitive exuding service-desk,Garciatown,0,Chad,26-02-2016 19:48,0
40.47,27,14548.06,190.17,User-friendly upward-trending intranet,New Lucasburgh,0,Poland,10-02-2016 19:20,1
78.36,34,40183.75,160.03,Cloned explicit middleware,Kingshire,0,Turkmenistan,11-03-2016 00:05,0
43.49,37,61172.07,181.02,Cross-group non-volatile secured line,New Brandy,1,Moldova,23-03-2016 21:06,0
40.04,34,20592.99,168.34,Cloned explicit middleware,Lake Amy,0,Turkmenistan,11-03-2016 00:05,0
59.36,38,39031.89,195.69,Cross-group non-volatile secured line,West Brandonton,0,Burundi,04-04-2016 20:01,0
40.04,23,40135.06,222.87,Centralized logistical secured line,Patriciahaven,0,Czech Republic,14-01-2016 14:00,1
41.73,28,51501.38,120.49,Organized global flexibility,New Brandy,1,Luxembourg,08-04-2016 22:40,0
66.12,28,59448.44,230.52,Intuitive exuding service-desk,Westshire,0,Libyan Arab Jamahiriya,20-06-2016 14:20,1
84.73,36,76003.47,140.46,Total 5thgeneration standardization,West Ericfurt,0,Guinea,13-05-2016 14:12,1
43.6,39,75044.35,236.87,Business-focused real-time toolset,North Johnside,0,Saint Pierre and Miquelon,12-05-2016 04:35,0
42.04,37,53058.91,129.31,Centralized logistical secured line,West Brandonton,0,Australia,05-06-2016 07:54,1
51.24,36,61610.05,124.44,Up-sized incremental encryption,New Rebecca,0,El Salvador,03-01-2016 16:01,1
71.84,39,37334.78,190.75,Managed zero tolerance concept,Edwardsport,1,American Samoa,08-07-2016 03:47,0
84.73,26,60997.84,131.68,Decentralized client-driven data-warehouse,Shelbyport,0,Albania,24-05-2016 13:30,1
43.49,37,75180.2,181.02,Vision-oriented attitude-oriented Internet solution,Lake James,0,Australia,10-02-2016 19:20,1
70.92,31,27262.51,217.37,User-friendly bandwidth-monitored attitude,Jamiefort,0,Czech Republic,06-05-2016 21:07,1
80.3,37,67132.46,177.55,Vision-oriented attitude-oriented Internet solution,Garciatown,0,Burundi,13-07-2016 21:31,0
52.68,32,55424.24,178.92,Front-line fresh-thinking open system,Phelpschester,1,French Southern Territories,18-01-2016 02:51,0
69.77,35,66541.05,226.54,Optional multi-state hardware,Port Cassie,1,Hong Kong,29-06-2016 13:35,0
80.47,33,52736.33,113.12,Adaptive contextually-based methodology,South George,1,Vanuatu,24-03-2016 06:36,0
72.55,31,66348.95,124.44,Exclusive disintermediate task-force,New Michael,0,Mexico,29-06-2016 13:35,0
51.87,49,39031.89,195.69,Managed client-server access,New Thomas,1,Afghanistan,05-04-2016 18:02,1
81.98,22,63430.33,136.21,Customizable modular Internet solution,West Ericaport,0,United States of America,29-01-2016 07:14,0
40.17,26,63430.33,140.46,Progressive clear-thinking open architecture,West Aprilport,0,United Arab Emirates,08-03-2016 18:00,0
65.65,41,39799.73,156.48,De-engineered attitude-oriented projection,Johnstad,0,Qatar,05-01-2016 20:58,0
56.16,33,43974.49,196.77,Expanded modular application,Youngfort,0,Hungary,27-02-2016 20:20,1
47.74,40,73882.91,221.98,Synergized coherent interface,South Cynthiashire,1,Honduras,20-06-2016 08:22,0
78.79,36,73882.91,214.33,Front-line bandwidth-monitored capacity,Hatfieldshire,1,Senegal,20-06-2016 08:22,0
51.56,27,14548.06,193.29,Virtual impactful algorithm,East Maureen,1,Dominican Republic,19-03-2016 11:09,0
56.39,19,58966.22,163,Persistent homogeneous framework,South George,1,Sri Lanka,03-02-2016 15:15,0
82.07,35,50723.67,259.76,Multi-layered fresh-thinking neural-net,East Carlos,0,Angola,01-04-2016 16:21,0
43.49,37,23936.86,109.29,Multi-channeled scalable moratorium,New Brandy,1,Libyan Arab Jamahiriya,20-06-2016 14:20,1
56.16,26,53336.76,131.68,Synergized coherent interface,East Kevinbury,1,Madagascar,08-01-2016 19:38,0
41.73,28,32252.38,217.37,Sharable reciprocal project,Jamiefort,0,Gabon,04-05-2016 12:06,0
59.51,32,55424.24,172.83,Cross-platform logistical pricing structure,Reyesfurt,1,Bolivia,08-05-2016 10:25,0
78.7,46,33951.63,221.98,Front-line system-worthy flexibility,Angelhaven,1,Switzerland,15-05-2016 18:44,1
47.74,36,50628.31,126.39,Managed zero tolerance concept,East Maureen,1,Turkey,31-05-2016 23:42,1
55.6,35,73889.99,225.58,Robust uniform framework,Port Cassie,1,French Southern Territories,26-01-2016 02:47,1
75.15,33,46868.53,204.02,Focused coherent success,New Taylorburgh,1,Vanuatu,02-03-2016 04:02,0
82.79,35,73889.99,226.54,Polarized modular function,Williamport,1,Moldova,11-02-2016 16:45,1
49.21,30,58677.69,172.83,Synchronized systemic hierarchy,Kristinfurt,0,Venezuela,08-05-2016 10:25,0
56.39,19,40468.53,193.29,Configurable tertiary capability,East Brittanyville,0,Estonia,28-02-2016 23:10,1
79.52,25,50671.6,241.03,Reactive demand-driven strategy,Palmerside,0,Micronesia,10-06-2016 00:35,1
75.71,51,41547.62,111.94,Extended context-sensitive monitoring,South Adamhaven,1,Saint Lucia,08-05-2016 10:25,0
83.71,44,64564.07,187.76,Exclusive even-keeled moratorium,Stewartbury,0,Norway,21-04-2016 19:56,1
47.48,27,66815.54,120.75,Front-line bandwidth-monitored capacity,Johnstad,0,Ukraine,21-05-2016 01:36,0
86.06,32,55424.24,178.92,Business-focused transitional solution,Lisafort,1,Ghana,31-03-2016 20:55,0
33.33,45,74903.41,174.88,Secured 24hour policy,Greerport,0,Taiwan,05-03-2016 12:03,1
81.98,22,52340.1,128.62,Open-source stable paradigm,Phillipsbury,0,Samoa,05-07-2016 22:33,0
68.88,42,60514.05,236.87,Innovative interactive portal,Hubbardmouth,0,Czech Republic,06-04-2016 11:24,1
55.6,35,42993.48,221.18,Total cohesive moratorium,Karenmouth,1,Mayotte,18-03-2016 13:22,1
84.98,24,52252.91,178.92,Business-focused transitional solution,Lisafort,1,Algeria,18-03-2016 13:22,0
56.39,60,69646.35,218.61,Programmable uniform website,Carterland,0,Belgium,16-03-2016 20:19,1
85.84,38,70005.51,197.93,Advanced modular Local Area Network,Sharpberg,0,French Polynesia,19-05-2016 14:30,1
88.04,41,64828,236.87,User-friendly grid-enabled analyzer,Hubbardmouth,0,Cuba,19-05-2016 14:30,1
59.22,40,57594.7,244.91,Visionary maximized process improvement,South Walter,1,Bolivia,18-03-2016 13:00,1
43.49,27,39193.45,131.29,Configurable tertiary capability,South Jeanneport,1,Zimbabwe,23-03-2016 21:06,0
65.65,30,58677.69,219.94,Synchronized systemic hierarchy,Kristinfurt,0,Qatar,05-01-2016 20:58,0
50.63,31,61067.58,236.87,Optional multi-state hardware,Austinland,1,Hong Kong,04-07-2016 23:17,0
40.47,40,38067.08,140.46,Multi-layered user-facing paradigm,Port Sherrystad,0,El Salvador,17-02-2016 20:22,1
40.17,25,59886.58,165.52,Team-oriented zero-defect initiative,Edwardsport,1,Korea,11-03-2016 06:49,0
75.42,30,57877.15,111.94,Business-focused transitional solution,Reyesfurt,1,Bolivia,08-05-2016 10:25,0
76.58,33,44174.25,120.75,Focused coherent success,Anthonyfurt,1,Myanmar,07-06-2016 01:29,0
41.73,28,71222.4,204.79,Monitored context-sensitive initiative,East Kevinbury,0,Zambia,30-05-2016 18:08,0
76.81,28,71222.4,217.37,Reverse-engineered background Graphic Interface,West Joseph,0,Australia,04-05-2016 12:06,1
75.42,26,31265.75,140.83,Sharable reciprocal project,Ericksonmouth,1,Bolivia,08-05-2016 10:25,0
88.04,44,48335.2,187.76,Up-sized executive moderator,Port Jodi,0,Angola,15-05-2016 13:18,0
65.59,47,39031.89,195.69,Organic logistical adapter,West Brandonton,1,Netherlands,22-03-2016 06:41,1
88.04,38,70582.55,206.98,Face-to-face mission-critical definition,Stewartbury,1,Finland,04-04-2016 22:00,0
40.47,29,56113.37,112.72,Digitized zero-defect implementation,East Brittanyville,0,Brazil,03-06-2016 01:14,0
73.72,36,32549.95,109.07,Grass-roots solution-oriented conglomeration,Youngfort,1,French Polynesia,27-04-2016 04:28,1
80.99,26,44248.52,221.98,Visionary asymmetric encryption,North Jessicaville,1,Madagascar,28-02-2016 23:54,0
46.61,41,55121.65,126.39,Synergistic reciprocal attitude,Hubbardmouth,0,Honduras,27-05-2016 08:53,1
60.23,22,61009.1,198.45,Focused coherent success,Port Douglasborough,1,Eritrea,06-02-2016 17:48,0
35.61,37,67132.46,258.62,Vision-oriented attitude-oriented Internet solution,South Lisa,0,Netherlands,23-07-2016 04:04,1
81.58,41,57846.68,126.39,Synergistic reciprocal attitude,West Lisa,1,Turkey,31-05-2016 23:42,1
37,30,58677.69,219.94,Synchronized systemic hierarchy,Reyesfurt,0,Qatar,05-01-2016 20:58,0
59.88,26,46033.73,207.17,De-engineered tertiary secured line,East Kevinbury,1,Singapore,21-06-2016 14:32,0
